        size,          ops,         time,      time/op
      512000,      5120000,     0.030470,  1.68034e+08
      512000,      5120000,     0.036290,  1.41086e+08
      512000,      5120000,     0.033211,  1.54166e+08
      512000,      5120000,     0.034069,  1.50283e+08
      512000,      5120000,     0.031672,  1.61657e+08
      512000,      5120000,     0.035723,  1.43325e+08
      512000,      5120000,     0.029021,  1.76424e+08
      512000,      5120000,     0.026696,  1.91789e+08
      512000,      5120000,     0.023919,  2.14056e+08
      512000,      5120000,     0.026139,  1.95876e+08
      512000,      5120000,     0.027046,  1.89307e+08
      512000,      5120000,     0.024260,  2.11047e+08
      512000,      5120000,     0.023410,   2.1871e+08
      512000,      5120000,     0.026234,  1.95167e+08
      512000,      5120000,     0.027672,  1.85025e+08
      512000,      5120000,     0.025427,  2.01361e+08
      512000,      5120000,     0.020842,  2.45658e+08
      512000,      5120000,     0.027565,  1.85743e+08
      512000,      5120000,     0.032139,  1.59308e+08
      512000,      5120000,     0.029813,  1.71737e+08
      512000,      5120000,     0.040455,   1.2656e+08
      512000,      5120000,     0.030366,   1.6861e+08
      512000,      5120000,     0.032632,  1.56901e+08
      512000,      5120000,     0.029626,  1.72821e+08
      512000,      5120000,     0.024925,  2.05416e+08
      512000,      5120000,     0.036069,   1.4195e+08
      512000,      5120000,     0.025013,  2.04694e+08
      512000,      5120000,     0.020690,  2.47463e+08
      512000,      5120000,     0.018538,  2.76189e+08
      512000,      5120000,     0.017689,  2.89445e+08
      512000,      5120000,     0.019365,  2.64395e+08
      512000,      5120000,     0.018130,  2.82405e+08
      512000,      5120000,     0.019152,  2.67335e+08
      512000,      5120000,     0.022508,  2.27475e+08
      512000,      5120000,     0.025421,  2.01408e+08
      512000,      5120000,     0.025038,  2.04489e+08
      512000,      5120000,     0.026550,  1.92844e+08
      512000,      5120000,     0.023642,  2.16564e+08
      512000,      5120000,     0.030056,  1.70349e+08
      512000,      5120000,     0.030237,  1.69329e+08
      512000,      5120000,     0.027438,  1.86603e+08
      512000,      5120000,     0.024798,  2.06468e+08
      512000,      5120000,     0.020826,  2.45847e+08
      512000,      5120000,     0.023782,  2.15289e+08
      512000,      5120000,     0.024918,  2.05474e+08
      512000,      5120000,     0.027406,   1.8682e+08
      512000,      5120000,     0.022916,  2.23425e+08
      512000,      5120000,     0.023177,  2.20909e+08
      512000,      5120000,     0.031045,  1.64922e+08
      512000,      5120000,     0.059851,  8.55458e+07
